location,bath,price,bhk,sqft
Hennur,2,60.0,2,1285.0
BTM 2nd Stage,3,170.0,3,1850.0
Sompura,2,37.0,3,1025.0
Malleshwaram,3,80.0,2,1124.0
Giri Nagar,5,250.0,7,4500.0
8th Phase JP Nagar,2,55.0,2,871.0
Other,3,420.0,3,3515.0
Akshaya Nagar,2,80.0,3,1410.0
Whitefield,2,75.0,2,1118.0
Thanisandra,2,68.0,2,1098.0
Kanakapura,2,45.2,2,1130.0
Sarjapur  Road,2,75.0,2,1145.0
Kadugodi,3,80.0,3,950.0
Marathahalli,2,53.67,2,1102.0
Jalahalli,2,125.0,2,1478.0
Chandapura,1,16.45,1,645.0
Hebbal,2,50.63,2,823.0
Abbigere,2,35.0,2,880.0
Gubbalala,3,115.0,3,1745.0
HAL 2nd Stage,3,135.0,2,1226.0
Other,2,70.0,2,1100.0
Banashankari Stage VI,4,195.0,4,1200.0
5th Phase JP Nagar,2,58.0,2,1450.0
Sahakara Nagar,2,54.0,2,1150.0
Banashankari Stage VI,4,195.0,4,2200.0
Bommanahalli,3,44.0,2,1090.0
Kaggadasapura,2,42.0,2,1132.0
Hulimavu,2,80.0,2,1375.0
7th Phase JP Nagar,5,220.0,4,1500.0
Thanisandra,1,50.3,1,760.0
Kaggadasapura,2,65.0,2,1180.0
Jigani,2,45.0,2,918.0
Margondanahalli,1,53.0,2,1200.0
HSR Layout,2,61.0,2,1372.0
Other,7,355.0,7,2400.0
Ardendale,3,95.0,3,1728.0
Malleshwaram,3,275.0,3,2215.0
BTM 2nd Stage,2,80.0,2,1200.0
6th Phase JP Nagar,2,56.0,2,1280.0
Rachenahalli,1,28.0,1,440.0
Kanakpura Road,3,97.0,3,1500.0
Whitefield,3,110.0,3,1800.0
Mysore Road,3,96.0,3,1525.0
Old Madras Road,2,53.55,2,1225.0
Bannerghatta Road,3,122.0,3,1650.0
9th Phase JP Nagar,2,42.0,2,1005.0
Whitefield,3,103.0,3,1562.0
Ramamurthy Nagar,2,42.0,2,1200.0
KR Puram,2,71.0,2,1550.0
Chikkalasandra,2,50.0,2,1070.0
Jalahalli East,2,42.48,2,1020.0
Yelahanka,3,115.0,3,1610.0
Other,1,41.0,1,700.0
Hebbal,2,123.0,2,1420.0
Hebbal,3,65.4,3,1069.0
Marathahalli,3,123.0,3,1900.0
Old Airport Road,2,97.65,2,1655.0
Uttarahalli,2,40.42,2,1155.0
Sarjapur  Road,2,70.0,3,1300.0
Doddathoguru,2,42.0,2,1030.0
Vittasandra,2,70.2,2,2105.0
Bhoganhalli,3,126.0,3,1700.0
Jakkur,3,139.0,3,1760.0
Bannerghatta Road,2,55.0,2,912.0
Haralur Road,2,46.0,2,1243.0
Jigani,2,63.2,2,918.0
Begur Road,2,70.0,3,1500.0
Other,3,250.0,3,3000.0
Kasavanhalli,3,89.0,3,1476.0
Mysore Road,2,65.0,2,1200.0
Vijayanagar,1,34.78,1,606.0
Garudachar Palya,2,59.5,3,1295.0
Neeladri Nagar,1,26.0,1,527.0
OMBR Layout,2,80.0,2,1300.0
Koramangala,2,75.2,2,1140.0
Whitefield,4,128.0,3,2321.0
Sarjapur  Road,3,90.0,3,1725.0
Hebbal,4,310.0,4,3067.0
Kanakpura Road,2,85.0,2,1230.0
Other,1,17.0,1,600.0
Yeshwanthpur,3,96.0,3,1313.0
TC Palaya,2,55.0,2,900.0
Ambalipura,2,66.25,2,1250.0
Binny Pete,1,54.0,1,660.0
Basavangudi,2,105.0,2,1036.0
Koramangala,4,450.0,4,2700.0
Old Madras Road,2,70.0,2,1100.0
Electronics City Phase 1,2,56.0,2,1015.0
Gottigere,1,26.0,1,812.0
Nehru Nagar,3,170.0,3,2167.0
Raja Rajeshwari Nagar,2,35.0,2,1200.0
Other,2,75.0,2,1165.0
BTM 2nd Stage,2,70.0,2,1274.0
Raja Rajeshwari Nagar,2,39.02,2,1151.0
Thubarahalli,2,120.0,3,1626.0
Banashankari Stage V,2,35.77,2,1035.0
Other,4,75.0,3,1272.0
Kothannur,2,42.79,2,1070.0
Raja Rajeshwari Nagar,2,65.0,3,1570.0
Other,2,65.0,3,1000.0
9th Phase JP Nagar,3,188.0,4,1200.0
5th Phase JP Nagar,2,100.0,3,1700.0
Haralur Road,3,110.0,3,1850.0
Kereguddadahalli,2,30.0,2,904.0
Sahakara Nagar,2,69.85,2,1270.0
Other,4,325.0,3,2400.0
Mahadevpura,1,35.0,1,730.0
Varthur,2,36.0,2,977.0
Jakkur,2,100.0,2,1290.0
Abbigere,2,32.54,2,795.0
Other,1,142.0,2,1463.0
Vijayanagar,3,140.0,3,1000.0
Other,3,185.0,3,2401.0
Bommenahalli,3,135.0,4,1670.0
Other,2,235.0,3,1875.0
Marsur,3,90.0,3,1200.0
Dodda Nekkundi,3,121.0,3,1804.0
1st Phase JP Nagar,4,210.0,3,2065.0
Hoskote,3,40.0,3,1225.0
Bellandur,2,56.0,2,900.0
Binny Pete,2,91.0,2,1350.0
Kaggalipura,1,36.0,1,700.0
Mysore Road,2,35.175,2,1005.0
Poorna Pragna Layout,2,46.39,2,1160.0
Hennur Road,3,99.27,3,1680.0
LB Shastri Nagar,2,55.0,2,1043.0
Hoskote,4,120.0,4,1200.0
Hebbal,2,46.0,2,1040.0
Tindlu,2,65.0,3,1357.0
Yelachenahalli,2,40.0,2,1130.0
Sultan Palaya,3,120.0,3,1700.0
Doddathoguru,3,65.0,3,1549.0
Yeshwanthpur,2,100.0,2,1400.0
Dodda Nekkundi,2,50.0,2,1080.0
Ulsoor,2,100.0,2,1180.0
Domlur,3,150.0,3,1800.0
Haralur Road,2,67.38,2,1225.0
Other,1,75.0,1,890.0
Abbigere,2,39.59,2,1005.0
Whitefield,2,95.0,2,1320.0
Anandapura,2,50.0,4,1475.0
Kudlu Gate,3,99.745,3,1707.0
Electronic City,2,65.35,2,1128.0
Jakkur,2,100.0,2,1452.19
Other,3,290.0,3,2400.0
Banashankari,4,135.0,3,2600.0
Sarakki Nagar,4,325.0,3,2500.0
Sanjay nagar,1,35.0,2,630.0
Hosa Road,2,48.5,2,1243.0
Other,3,100.0,3,1690.0
Banaswadi,2,73.0,2,1365.0
Hebbal,2,99.39,2,1420.0
Bisuvanahalli,1,32.0,2,850.0
7th Phase JP Nagar,2,110.0,3,1575.0
Thigalarapalya,2,104.0,2,1418.0
Uttarahalli,2,42.0,2,1050.0
Hennur Road,2,42.6,2,1065.0
Ulsoor,3,90.0,3,1340.0
Electronic City Phase II,2,33.5,2,1160.0
Kudlu,2,44.0,2,1092.0
Parappana Agrahara,2,47.0,2,1194.0
Abbigere,1,19.82,1,734.0
Ardendale,2,48.0,2,1100.0
Bellandur,2,79.0,2,1350.0
Electronic City,2,65.0,2,1128.0
Other,2,90.0,2,1350.0
Kasavanhalli,3,82.0,3,1493.0
8th Phase JP Nagar,2,43.91,2,1098.0
Banashankari,2,170.0,3,1900.0
Other,3,88.0,3,1460.0
Frazer Town,4,285.0,3,2350.0
Horamavu Banaswadi,5,140.0,5,1600.0
Varthur,2,32.0,2,1091.0
Kanakpura Road,3,76.85,2,1366.0
Other,3,95.0,3,1685.0
Koramangala,2,100.0,2,1260.0
Whitefield,3,200.0,3,3010.0
Ramamurthy Nagar,4,140.0,3,1330.0
Mallasandra,2,130.0,2,1200.0
Whitefield,2,96.17,2,1346.0
Chandapura,1,13.86,1,630.0
Sarjapur  Road,3,98.94,3,1476.0
7th Phase JP Nagar,3,140.0,3,1850.0
Frazer Town,2,423.0,5,2350.0
Parappana Agrahara,2,46.0,2,1194.0
Hebbal,4,365.0,4,4235.0
Other,1,52.0,1,800.0
Rachenahalli,3,195.0,3,2250.0
Vijayanagar,2,68.0,2,1352.0
Thanisandra,3,112.0,3,2002.0
Other,5,280.0,4,4000.0
Kaval Byrasandra,2,45.0,2,1060.0
Raja Rajeshwari Nagar,2,51.15,2,1196.0
Electronics City Phase 1,3,75.0,3,1595.0
Banashankari,2,75.0,2,1260.0
Hebbal,2,47.0,2,1100.0
Frazer Town,2,140.0,2,1550.0
ISRO Layout,2,52.0,2,1180.0
Akshaya Nagar,3,85.0,3,1662.0
Hennur,2,60.0,2,1285.0
Ambedkar Nagar,3,119.0,3,1862.0
Raja Rajeshwari Nagar,2,48.0,2,1419.0
Ambedkar Nagar,5,627.0,5,5530.0
Nagavarapalya,2,99.0,2,1392.0
Jakkur,3,120.0,3,1798.0
Babusapalaya,3,75.0,3,1675.0
Other,2,70.0,2,792.0
Hebbal,3,124.0,3,1700.0
Hulimavu,2,69.0,2,1248.0
Sultan Palaya,2,40.0,2,1100.0
Vijayanagar,3,115.0,3,1527.0
Kanakpura Road,1,25.0,1,525.0
Kaggadasapura,2,58.0,2,1100.0
Seegehalli,2,37.5,2,1118.0
Kanakapura,3,75.0,3,1476.0
Ambalipura,2,79.0,2,1332.0
Hennur Road,2,49.0,2,1350.0
Haralur Road,2,46.0,2,1243.0
NGR Layout,2,49.73,2,1105.0
Padmanabhanagar,2,200.0,3,1500.0
Kasavanhalli,2,50.0,2,1200.0
Ramagondanahalli,2,47.4,2,1251.0
Kambipura,2,45.0,2,883.0
Rajaji Nagar,3,260.0,3,1800.0
Hegde Nagar,3,113.0,3,1703.0
NRI Layout,5,130.0,5,2500.0
Varthur,3,71.0,3,1250.0
Jigani,2,43.0,2,933.0
Other,1,31.7,1,461.82
Brookefield,2,75.0,2,1262.0
Yelahanka,2,48.0,2,915.0
Malleshpalya,2,55.0,2,1210.0
Kodihalli,4,260.0,3,2392.0
Other,2,85.0,3,1500.0
Rajaji Nagar,4,570.0,4,3100.0
Sarjapura - Attibele Road,4,110.0,4,1800.0
Uttarahalli,2,55.0,3,1300.0
Vijayanagar,2,60.0,2,989.0
Jakkur,2,85.0,2,1300.0
Marathahalli,2,60.0,2,1045.0
Other,2,75.0,2,1260.0
Ulsoor,2,125.0,3,1500.0
Hennur Road,2,83.09,2,1385.0
Lakshminarayana Pura,2,75.0,2,1149.0
Sarjapur  Road,3,170.0,3,2180.0
Hulimavu,3,135.0,3,1818.0
Rajaji Nagar,3,241.0,3,1640.0
Chandapura,1,27.0,2,630.0
Hoodi,2,113.0,2,1430.0
Nagavara,4,180.0,3,2430.0
Sarjapur  Road,2,55.0,2,1084.0
Haralur Road,5,240.0,4,3400.0
Iblur Village,5,282.0,4,3596.0
Raja Rajeshwari Nagar,2,70.0,2,1295.0
Kasavanhalli,4,110.0,3,1000.0
Other,3,285.0,3,2820.0
Rajaji Nagar,2,170.0,2,1370.0
JP Nagar,2,62.0,2,1200.0
Gunjur,3,95.0,4,2000.0
9th Phase JP Nagar,4,300.0,4,3500.0
Kengeri,5,253.0,4,2400.0
Other,3,130.0,3,1950.0
Somasundara Palya,2,73.0,2,1178.0
Begur Road,2,42.0,2,1160.0
Jigani,2,55.0,2,918.0
Electronic City,3,91.84,3,1563.0
Other,2,140.0,3,1350.0
Hebbal,5,386.0,4,3960.0
Begur Road,2,39.06,2,1240.0
Kaggadasapura,2,50.0,2,1325.0
Sonnenahalli,2,44.0,2,1100.0
Somasundara Palya,2,60.0,2,1260.0
Arekere,2,125.0,3,1445.0
Murugeshpalya,3,74.0,3,1550.0
Electronics City Phase 1,2,80.91,3,1515.0
Hosa Road,2,86.12,3,1332.0
Electronic City,3,70.0,3,1652.0
Hegde Nagar,3,105.0,3,1570.0
Sector 2 HSR Layout,1,60.0,1,794.0
Seegehalli,2,62.0,3,1200.0
7th Phase JP Nagar,3,410.0,4,3600.0
Hosakerehalli,3,175.0,3,1200.0
JP Nagar,3,220.0,4,1650.0
HRBR Layout,3,250.0,3,2800.0
Sarjapur  Road,3,110.0,3,1750.0
Hebbal,2,48.0,2,1053.0
Other,4,345.0,4,4051.0
Bommasandra,3,80.0,3,1447.0
Balagere,2,75.0,2,1012.0
Narayanapura,2,92.66,2,1308.0
Green Glen Layout,4,230.0,4,3250.0
Gunjur,2,49.11,2,1140.0
Jakkur,4,260.5,4,3181.0
Uttarahalli,2,55.0,3,1250.0
Ambedkar Nagar,2,90.0,2,1424.0
Garudachar Palya,2,60.6,3,1320.0
Akshaya Nagar,3,85.5,3,1662.0
Begur Road,2,45.0,2,1200.0
Koramangala,3,210.0,3,1975.0
Garudachar Palya,2,59.5,3,1295.0
Battarahalli,3,100.0,3,1777.0
Kadugodi,3,108.0,3,1900.0
Sompura,2,41.0,2,1020.0
Other,3,170.0,3,2100.0
Raja Rajeshwari Nagar,1,31.75,1,648.0
Neeladri Nagar,2,38.0,3,1167.0
Hoodi,2,50.89,2,1220.0
Vittasandra,2,67.4,2,1259.0
8th Phase JP Nagar,3,80.0,3,1800.0
Other,3,160.0,3,1991.0
Bannerghatta,3,110.0,3,1665.0
Banashankari,2,46.79,2,1170.0
Old Airport Road,2,60.0,2,1075.0
Electronic City,2,54.5,2,1025.0
Thanisandra,3,99.0,3,2000.0
Whitefield,4,155.0,4,2500.0
Mallasandra,2,70.0,2,1325.0
Kadugodi,2,68.2,2,1314.0
Kanakpura Road,3,136.0,3,2265.0
7th Phase JP Nagar,7,170.0,7,4800.0
KR Puram,2,51.22,2,1192.5
Hebbal,2,99.39,2,1420.0
JP Nagar,2,90.87,2,1300.0
Rajaji Nagar,2,97.16,2,1216.0
Other,4,342.0,4,3000.0
Begur,3,63.0,3,1559.0
Harlur,2,87.0,2,1290.0
Other,6,245.0,6,2400.0
Whitefield,1,55.0,1,905.0
Sarjapura - Attibele Road,2,22.8,2,829.0
Koramangala,2,200.0,2,1900.0
Channasandra,2,33.45,2,1115.0
Rajaji Nagar,3,360.0,3,2409.0
Ambedkar Nagar,4,125.0,3,2150.0
Hosakerehalli,5,250.0,5,2400.0
Other,2,105.0,2,1375.0
Subramanyapura,2,66.5,2,1313.0
Attibele,4,275.0,4,3640.0
Other,3,108.0,3,1693.0
Other,3,200.0,3,1200.0
Subramanyapura,2,79.0,3,1255.0
Uttarahalli,3,88.0,3,1700.0
Harlur,3,115.0,3,1749.0
Dasanapura,3,65.0,2,1500.0
Akshaya Nagar,2,60.0,2,1280.0
Ramagondanahalli,2,115.0,3,1610.0
TC Palaya,2,66.0,2,1200.0
9th Phase JP Nagar,2,50.0,2,1127.0
Indira Nagar,2,102.0,2,1210.0
Thigalarapalya,4,380.0,4,4190.0
Whitefield,3,146.0,4,2268.0
Other,2,77.5,3,1150.0
Magadi Road,2,55.0,2,1345.0
Kengeri,2,36.0,2,750.0
Pattandur Agrahara,2,59.8,2,1247.0
Kaggalipura,2,48.0,2,950.0
Marathahalli,2,58.86,2,1215.0
Other,1,30.0,1,900.0
Hennur Road,3,174.0,3,2350.0
Other,3,150.0,3,1672.0
Laggere,5,125.0,5,2800.0
Whitefield,4,378.0,4,4500.0
Bommasandra,2,37.46,2,920.0
Sarjapur  Road,3,70.0,3,1200.0
Other,3,139.0,3,1250.0
Hosakerehalli,4,153.0,3,1817.0
Cooke Town,6,375.0,5,2043.0
HSR Layout,2,46.0,2,1140.0
Yelahanka,4,450.0,4,4346.0
Haralur Road,2,56.0,2,1464.0
Other,3,130.0,2,1468.0
Electronics City Phase 1,2,82.0,3,1555.0
Kadubeesanahalli,2,35.0,2,970.0
Konanakunte,3,317.0,3,2779.0
Electronic City,3,58.0,3,1350.0
Kodichikkanahalli,2,75.0,3,1495.0
Indira Nagar,2,105.0,2,1224.0
Banashankari Stage III,2,68.0,3,1350.0
Green Glen Layout,2,56.8,2,940.0
Raja Rajeshwari Nagar,2,55.0,2,1100.0
Kaikondrahalli,2,61.0,2,1300.0
Other,2,145.0,3,1480.0
Hoodi,2,46.37,2,1105.0
Sarjapur  Road,3,200.0,3,2600.0
Yelahanka,3,76.3,3,1517.0
Marathahalli,2,73.0,2,1365.0
CV Raman Nagar,2,98.0,2,1392.0
Kodigehalli,2,33.66,2,1086.0
Hennur Road,3,93.94,3,1586.0
Hennur,2,60.0,2,1100.0
Electronic City Phase II,2,30.75,2,1065.0
TC Palaya,2,120.0,3,1500.0
7th Phase JP Nagar,2,120.0,3,1575.0
Hennur Road,3,123.0,3,1975.0
Gubbalala,3,110.0,3,1745.0
Nagarbhavi,2,60.0,2,1223.0
Ananth Nagar,2,65.0,3,1200.0
Basaveshwara Nagar,2,90.0,2,1200.0
Binny Pete,1,46.08,1,665.0
Bharathi Nagar,2,70.0,2,1351.0
Hebbal,3,83.87,3,1355.0
Amruthahalli,2,60.0,2,900.0
Harlur,4,260.0,4,3385.0
Other,3,285.0,3,2280.0
Hoodi,2,53.0,2,1247.0
Other,3,200.0,3,2000.0
Balagere,2,68.38,2,1020.07
Garudachar Palya,2,52.8,2,1150.0
Babusapalaya,2,46.0,2,1141.0
Doddaballapur,4,325.0,4,4200.0
Hosa Road,2,125.0,3,1665.0
Kanakapura,2,64.0,2,1295.0
Haralur Road,2,78.0,2,1230.0
Other,2,75.0,3,1080.0
Kaggalipura,2,60.0,2,1000.0
Whitefield,1,32.79,1,630.5
Rayasandra,3,75.0,3,1708.0
Thanisandra,3,115.0,3,1697.0
Whitefield,5,210.0,4,3537.0
Hosa Road,1,28.29,1,615.0
Banashankari,2,83.0,3,1350.0
Jalahalli,2,32.49,2,1083.0
Gottigere,2,65.0,3,1460.0
Babusapalaya,2,58.0,2,1084.0
Bommasandra,2,41.43,2,1035.0
Other,2,150.0,3,2400.0
Hosur Road,1,21.0,1,460.0
Sarjapur,3,78.0,3,1200.0
Hegde Nagar,3,140.0,3,1801.0
Whitefield,3,115.0,3,1697.0
AECS Layout,2,65.0,2,1199.0
Iblur Village,3,220.0,3,2300.0
Other,2,75.0,2,1125.0
Anandapura,2,67.0,2,1200.0
Subramanyapura,2,41.0,2,1050.0
Nagarbhavi,2,49.0,2,956.0
Sarjapur,2,30.0,2,1000.0
Other,3,95.0,3,1596.0
Kanakpura Road,2,89.06,2,1296.0
Other,3,123.0,3,1639.0
Electronic City Phase II,2,61.25,2,1219.0
Bannerghatta Road,2,73.0,2,1218.0
2nd Phase Judicial Layout,1,26.0,1,525.0
Ramagondanahalli,2,65.0,2,920.0
Dommasandra,3,68.0,4,2700.0
Other,3,199.0,3,1740.0
Lingadheeranahalli,2,90.0,3,1530.0
Other,2,90.0,3,1372.0
Jakkur,3,131.0,3,1950.0
Vijayanagar,2,225.0,2,1380.0
Uttarahalli,2,43.0,2,1085.0
Bhoganhalli,4,121.0,4,1451.5
Bellandur,2,57.0,2,1286.0
Other,2,63.0,2,925.0
Bellandur,4,230.0,4,3016.0
Haralur Road,2,44.0,2,1000.0
Other,3,95.0,4,1200.0
Lakshminarayana Pura,2,100.0,2,1336.0
Yeshwanthpur,1,36.85,1,673.0
Anandapura,2,58.0,2,1200.0
Malleshwaram,3,160.0,3,1600.0
Other,2,79.0,2,1200.0
Other,3,270.0,3,2500.0
Devanahalli,5,100.0,5,2400.0
Sector 2 HSR Layout,2,65.0,2,1143.0
Other,3,145.0,4,1584.0
Koramangala,3,286.0,3,2292.0
Kothanur,3,71.0,3,1460.0
Sanjay nagar,3,250.0,5,3300.0
Chikkalasandra,2,48.0,2,1230.0
Yelahanka New Town,1,20.0,1,650.0
Benson Town,2,120.0,2,1480.0
Other,3,115.0,3,1570.0
Other,3,400.0,3,3000.0
Sarjapur  Road,5,600.0,4,4000.0
Ramamurthy Nagar,2,68.0,2,1100.0
Kathriguppe,2,87.01,3,1350.0
Kasavanhalli,3,116.0,3,1719.0
Budigere,1,35.0,1,664.0
Sonnenahalli,2,50.53,2,1011.0
Yeshwanthpur,2,49.475,2,717.0
Whitefield,2,150.0,3,1520.0
Kothanur,3,150.0,3,1760.0
Pattandur Agrahara,2,33.0,2,875.0
Hennur,2,48.0,2,1231.0
Somasundara Palya,2,74.0,2,1174.0
Munnekollal,3,75.0,3,1560.0
Kanakpura Road,3,130.0,3,2200.0
Shivaji Nagar,2,55.0,2,850.0
Other,3,180.0,3,1750.0
Other,1,160.0,2,1500.0
Other,6,275.0,6,2100.0
Kodihalli,4,260.0,3,2408.0
Indira Nagar,3,225.0,3,2070.0
Mahalakshmi Layout,5,158.0,4,1575.0
Kodichikkanahalli,4,180.0,4,3250.0
Uttarahalli,2,47.0,2,1175.0
Channasandra,2,34.5,2,1030.0
Hebbal,2,115.0,2,1440.0
Hoodi,2,84.0,2,1500.0
Other,1,36.5,1,705.0
Hegde Nagar,3,103.0,3,1584.01
Other,3,77.0,3,1340.0
R.T. Nagar,2,45.0,2,1200.0
Sarjapur  Road,1,40.0,1,685.0
Kodichikkanahalli,2,52.0,2,1125.0
Hebbal,2,54.0,2,1100.0
Jigani,3,149.0,3,2400.0
Ambedkar Nagar,4,290.0,4,3530.0
HSR Layout,2,60.0,2,1185.0
Other,2,216.0,2,1200.0
Hennur,2,58.0,2,1255.0
Kudlu Gate,3,89.0,3,1335.0
Dodda Nekkundi,3,132.0,3,1999.0
Other,2,125.0,2,1200.0
Kundalahalli,3,110.0,3,1397.0
Cooke Town,4,450.0,4,3950.0
Yelahanka New Town,2,130.0,2,1200.0
Chikka Tirupathi,3,95.0,3,1616.0
Other,2,175.0,4,1270.0
Raja Rajeshwari Nagar,2,38.55,2,1140.0
Kanakpura Road,1,30.0,1,525.0
Varthur,2,98.0,3,1200.0
Balagere,2,81.0,2,1205.47
Other,3,130.0,3,1200.0
Electronic City,3,75.0,3,1700.0
Thanisandra,1,60.84,1,923.0
Green Glen Layout,2,48.0,2,1050.0
Hennur Road,3,93.865,3,1664.0
Indira Nagar,1,70.0,1,500.0
Thanisandra,3,93.25,3,1743.0
Other,3,425.0,3,2500.0
Mysore Road,2,110.0,3,1512.0
Other,5,385.0,4,3100.0
Other,4,150.0,4,1200.0
Sarjapura - Attibele Road,3,85.0,3,2400.0
Hormavu,2,44.4,2,1141.0
Anandapura,2,43.1,2,1151.0
Other,3,270.0,3,3259.0
Bannerghatta Road,2,65.12,2,1115.0
Kaggadasapura,2,53.0,2,1200.0
Singasandra,2,65.0,2,1300.0
Bellandur,2,85.0,2,1457.0
Kannamangala,2,55.0,2,1262.0
Ananth Nagar,2,22.5,2,900.0
Attibele,1,17.0,1,420.0
Kanakapura,2,46.39,2,1160.0
Kasavanhalli,2,50.0,2,1115.0
JP Nagar,2,85.4,3,1315.0
Babusapalaya,2,57.0,2,1500.0
HSR Layout,2,68.0,2,1127.0
Kundalahalli,3,104.0,3,1397.0
Sompura,2,28.0,2,1090.0
Jakkur,2,76.0,2,1230.0
Talaghattapura,3,121.0,3,1868.0
Uttarahalli,3,91.2,3,1689.28
Tindlu,2,100.0,2,1350.0
Channasandra,6,180.0,6,4200.0
Uttarahalli,2,85.0,3,1310.0
Kundalahalli,3,108.0,3,1397.0
Sarjapur,2,40.0,2,1157.0
Kasavanhalli,2,61.2,2,1125.0
Sonnenahalli,2,42.0,2,1157.0
Sarjapur  Road,2,82.0,2,1241.0
Binny Pete,1,62.0,1,660.0
Rajiv Nagar,4,148.0,4,2340.0
Other,1,42.0,1,596.0
Other,4,110.0,4,1200.0
Other,3,190.0,3,1910.0
Brookefield,2,80.0,2,1139.0
Sarjapura - Attibele Road,2,28.41,2,1033.0
Chandapura,2,42.0,2,877.0
Electronics City Phase 1,2,75.0,2,1340.0
Other,3,149.0,3,1750.0
Other,2,63.0,2,985.0
Other,2,129.0,2,1300.0
7th Phase JP Nagar,3,150.0,3,1850.0
Other,2,88.0,3,1490.0
Hormavu,2,42.3,2,1130.0
Yelachenahalli,2,55.0,2,1080.0
Hennur Road,2,94.5,3,1290.0
Hosa Road,2,85.28,3,1318.0
Electronic City,2,68.0,2,1128.0
Kanakpura Road,2,56.74,2,1051.0
Yelahanka,2,85.0,2,1327.0
Other,1,30.0,1,650.0
Varthur,3,67.75,3,1200.0
Other,2,89.99,3,1500.0
Other,4,145.0,4,1350.0
Electronic City Phase II,2,28.88,2,1000.0
Jakkur,3,160.0,3,1819.18
Nagarbhavi,1,175.0,1,900.0
Hebbal,3,83.87,3,1355.0
Sarakki Nagar,4,270.0,3,2145.0
Malleshwaram,4,300.0,3,2475.0
Kaggadasapura,2,30.0,2,1118.0
Other,1,42.0,1,910.0
Hosakerehalli,2,100.0,2,1304.0
CV Raman Nagar,2,47.5,2,1070.0
Hebbal,3,395.0,3,3500.0
Hoodi,2,89.37,2,1132.0
Sector 2 HSR Layout,1,65.0,1,794.0
Raja Rajeshwari Nagar,2,43.59,2,1090.0
Gottigere,3,70.0,3,1500.0
1st Phase JP Nagar,3,225.0,3,2059.0
Kanakpura Road,1,30.0,1,525.0
Bhoganhalli,2,75.97,2,1447.0
Whitefield,2,75.0,2,1269.0
Other,4,700.0,4,4800.0
Talaghattapura,2,28.0,2,1150.0
Marathahalli,2,70.0,2,1208.0
Ramamurthy Nagar,2,45.5,2,1185.0
Laggere,3,130.0,3,1200.0
Anekal,2,34.0,2,888.0
Other,1,22.49,1,532.0
Other,3,62.0,3,1060.0
Electronic City,1,35.0,1,700.0
Uttarahalli,2,47.0,2,1175.0
Binny Pete,2,122.0,2,1365.0
Doddathoguru,2,51.0,2,984.0
Jalahalli East,3,96.0,3,1475.0
Haralur Road,2,79.0,2,1300.0
Other,2,160.0,2,1550.0
Akshaya Nagar,3,95.0,3,1666.0
Akshaya Nagar,4,160.0,4,1410.0
Yelahanka,5,800.0,4,4025.0
Murugeshpalya,3,91.0,3,1845.0
Sarjapura - Attibele Road,3,52.0,3,1676.0
Uttarahalli,2,63.0,2,1137.0
Electronic City,2,70.5,3,1360.0
Judicial Layout,3,155.0,3,1700.0
Kasavanhalli,3,151.0,3,2170.0
Electronic City Phase II,3,100.0,3,1790.0
Doddathoguru,1,17.0,1,550.0
Somasundara Palya,2,48.0,2,1033.0
Other,2,80.0,2,1000.0
Kambipura,2,39.0,2,883.0
Other,2,97.0,3,1500.0
Marathahalli,3,139.0,3,1730.0
Whitefield,3,79.0,3,1545.0
Other,4,140.0,3,1865.0
Hebbal Kempapura,2,40.0,2,1150.0
Marsur,3,120.0,3,1200.0
Kaikondrahalli,4,108.0,4,1700.0
Lingadheeranahalli,3,120.0,3,1682.0
Hennur Road,2,49.5,2,901.0
Ambalipura,3,120.0,3,1730.0
Konanakunte,4,125.0,4,1200.0
EPIP Zone,3,102.0,3,1500.0
Other,4,245.0,4,3500.0
Horamavu Banaswadi,2,54.0,2,1357.0
Yelahanka New Town,1,13.5,1,350.0
Ramamurthy Nagar,3,200.0,3,1400.0
Sarjapur  Road,1,46.95,1,835.0
Other,3,160.0,2,815.0
Haralur Road,2,80.0,3,1444.0
Kanakapura,2,55.0,2,1277.0
Lingadheeranahalli,3,94.71,3,1521.0
Vasanthapura,2,34.82,2,995.0
Marathahalli,1,92.0,2,1325.0
Kothanur,6,150.0,6,4000.0
Marathahalli,3,90.0,3,1525.0
Electronics City Phase 1,1,23.0,1,650.0
Old Airport Road,2,167.0,3,1858.0
Electronic City Phase II,2,40.0,2,769.0
Electronic City,3,105.0,3,1571.0
Hennur Road,3,86.56,3,1445.0
Hosur Road,2,135.0,3,1590.0
Bommasandra,2,49.0,2,902.0
Sarjapur,3,140.0,3,2238.0
Haralur Road,2,68.0,2,1088.0
Other,6,205.0,6,2150.0
Kundalahalli,3,150.0,3,1920.0
Margondanahalli,2,57.0,2,1000.0
Horamavu Agara,2,43.09,2,1106.0
Thanisandra,1,45.69,1,923.0
Sarjapur  Road,3,285.0,3,2900.0
Lakshminarayana Pura,2,75.0,2,1175.0
Thubarahalli,2,55.0,2,975.0
Hebbal,4,180.0,3,2400.0
Harlur,3,133.0,3,1758.0
Hebbal,2,77.68,3,1255.0
Pai Layout,2,50.0,2,1100.0
Ramamurthy Nagar,2,46.8,2,1170.0
Hebbal,2,107.0,2,1420.0
Kanakpura Road,3,115.0,3,1591.0
7th Phase JP Nagar,3,120.0,3,1680.0
Other,3,52.0,2,675.0
Hoodi,2,57.63,2,1055.0
